id_pedido,data_pedido,ano,mes,regiao,cidade,canal_venda,vendedor,segmento_cliente,produto,categoria,quantidade,preco_unitario,desconto_percentual,frete,receita_bruta,receita_liquida,custo_total,lucro,margem_percentual,forma_pagamento,status_pedido,prazo_entrega_dias,avaliacao_cliente
PED-01149,2025-01-11,2025,01,Sudeste,São Paulo,Aplicativo,Ana,Pequena Empresa,Mouse Sem Fio,Acessórios,1,145.00,5,52.23,145.00,0.00,18.28,-18.28,0.00,Cartão de Crédito,Cancelado,9,
PED-00391,2025-01-12,2025,01,Nordeste,Fortaleza,Loja Física,Eduarda,Pessoa Física,Headset USB,Acessórios,2,260.00,10,10.81,520.00,478.81,313.78,165.03,34.47,Cartão de Crédito,Concluído,6,4
PED-01325,2025-01-12,2025,01,Sul,Londrina,Site,Carla,Média Empresa,Monitor 24,Eletrônicos,1,920.00,0,51.04,920.00,971.04,657.86,313.18,32.25,PIX,Concluído,10,2
PED-00573,2025-01-13,2025,01,Sul,Porto Alegre,Aplicativo,Carla,Pequena Empresa,Monitor 24,Eletrônicos,1,920.00,5,68.84,920.00,942.84,664.09,278.75,29.56,Cartão de Crédito,Concluído,3,3
PED-00883,2025-01-13,2025,01,Sudeste,Campinas,Marketplace,Carla,Corporativo,Cadeira Ergonômica,Móveis,3,1350.00,10,47.60,4050.00,0.00,16.66,-16.66,0.00,Transferência,Cancelado,6,
PED-00478,2025-01-14,2025,01,Nordeste,Natal,Marketplace,Bruno,Pessoa Física,Memória RAM 16 GB,Componentes,2,390.00,10,92.87,780.00,119.23,444.12,-324.89,-272.49,Cartão de Crédito,Devolvido,3,
PED-01225,2025-01-14,2025,01,Sul,Florianópolis,Loja Física,Bruno,Pessoa Física,Mouse Sem Fio,Acessórios,4,145.00,0,8.56,580.00,588.56,331.00,257.56,43.76,PIX,Concluído,9,5
PED-00367,2025-01-15,2025,01,Nordeste,Salvador,Site,Henrique,Pessoa Física,Smartphone X,Telefonia,1,3200.00,5,19.36,3200.00,0.00,6.78,-6.78,0.00,Transferência,Cancelado,5,
PED-00505,2025-01-15,2025,01,Nordeste,Natal,Loja Física,Henrique,Pessoa Física,Impressora Wi-Fi,Escritório,3,760.00,0,81.88,2280.00,2361.88,1573.66,788.22,33.37,Transferência,Concluído,5,5
PED-00711,2025-01-15,2025,01,Centro-Oeste,Goiânia,Marketplace,Felipe,Pessoa Física,Teclado Mecânico,Acessórios,8,350.00,5,49.47,2800.00,2709.47,1697.31,1012.16,37.36,PIX,Concluído,8,5
PED-01500,2025-01-15,2025,01,Centro-Oeste,Brasília,Aplicativo,Daniel,Pessoa Física,Smartphone Y,Telefonia,1,2150.00,5,35.81,2150.00,2078.31,1592.53,485.78,23.37,Transferência,Concluído,12,5
PED-00781,2025-01-16,2025,01,Centro-Oeste,Brasília,Site,Henrique,Pessoa Física,Webcam Full HD,Acessórios,1,310.00,5,62.24,310.00,356.74,211.78,144.96,40.63,Transferência,Concluído,5,3
PED-01182,2025-01-16,2025,01,Nordeste,Natal,Marketplace,Bruno,Pequena Empresa,Smartphone Y,Telefonia,1,2150.00,0,33.18,2150.00,327.48,1352.87,-1025.39,-313.12,Cartão de Crédito,Devolvido,3,
PED-00197,2025-01-17,2025,01,Norte,Belém,Marketplace,Ana,Corporativo,Monitor 27,Eletrônicos,2,1450.00,20,86.39,2900.00,360.96,1759.70,-1398.74,-387.51,PIX,Devolvido,5,
PED-00793,2025-01-17,2025,01,Sul,Curitiba,Marketplace,Felipe,Pessoa Física,Smartphone Y,Telefonia,2,2150.00,0,7.36,4300.00,4307.36,3162.58,1144.78,26.58,Transferência,Concluído,6,4
PED-01093,2025-01-17,2025,01,Nordeste,Salvador,Marketplace,Daniel,Pessoa Física,Mesa Home Office,Móveis,2,980.00,10,81.25,1960.00,1845.25,1268.44,576.81,31.26,PIX,Concluído,9,5
PED-01185,2025-01-17,2025,01,Sudeste,São Paulo,Aplicativo,Ana,Corporativo,Mouse Sem Fio,Acessórios,3,145.00,0,79.97,435.00,514.97,273.99,240.98,46.79,Boleto,Concluído,12,4
PED-00627,2025-01-18,2025,01,Centro-Oeste,Cuiabá,Loja Física,Daniel,Pequena Empresa,Smartphone Y,Telefonia,2,2150.00,10,7.73,4300.00,3877.73,3162.71,715.02,18.44,Cartão de Crédito,Concluído,8,5
PED-01441,2025-01-18,2025,01,Sudeste,São Paulo,Marketplace,Daniel,Média Empresa,Smartphone Y,Telefonia,8,2150.00,10,85.23,17200.00,15565.23,12669.83,2895.40,18.60,Cartão de Crédito,Concluído,7,4
PED-00260,2025-01-19,2025,01,Nordeste,Recife,Site,Felipe,Pessoa Física,Notebook Pro 14,Eletrônicos,1,4200.00,5,29.08,4200.00,4019.08,3160.18,858.90,21.37,Boleto,Concluído,1,4
PED-00274,2025-01-19,2025,01,Sudeste,São Paulo,Marketplace,Ana,Média Empresa,Monitor 27,Eletrônicos,4,1450.00,20,60.57,5800.00,0.00,21.20,-21.20,0.00,PIX,Cancelado,9,
PED-00371,2025-01-19,2025,01,Nordeste,Fortaleza,Marketplace,Daniel,Corporativo,Smartphone Y,Telefonia,8,2150.00,0,5.89,17200.00,17205.89,12642.06,4563.83,26.52,Cartão de Crédito,Concluído,7,5
PED-00524,2025-01-19,2025,01,Sudeste,São Paulo,Site,Henrique,Pessoa Física,Notebook Pro 14,Eletrônicos,2,4200.00,10,70.70,8400.00,1144.61,5376.03,-4231.42,-369.68,Boleto,Devolvido,8,
PED-01155,2025-01-19,2025,01,Norte,Manaus,Marketplace,Daniel,Pessoa Física,Notebook Lite 15,Eletrônicos,2,2850.00,10,77.73,5700.00,5207.73,4327.21,880.52,16.91,Transferência,Concluído,7,3
PED-00263,2025-01-21,2025,01,Nordeste,Natal,Marketplace,Bruno,Pessoa Física,Notebook Lite 15,Eletrônicos,2,2850.00,0,66.04,5700.00,864.91,3674.64,-2809.73,-324.86,Boleto,Devolvido,1,
PED-00820,2025-01-21,2025,01,Nordeste,Recife,Site,Gabriela,Pessoa Física,Notebook Pro 14,Eletrônicos,3,4200.00,5,30.75,12600.00,0.00,10.76,-10.76,0.00,Cartão de Crédito,Cancelado,12,
PED-00979,2025-01-21,2025,01,Norte,Porto Velho,Aplicativo,Bruno,Média Empresa,Memória RAM 16 GB,Componentes,1,390.00,0,28.51,390.00,418.51,254.98,163.53,39.07,PIX,Concluído,3,3
PED-00683,2025-01-22,2025,01,Sudeste,Belo Horizonte,Site,Gabriela,Pessoa Física,Notebook Lite 15,Eletrônicos,6,2850.00,0,40.58,17100.00,17140.58,12914.20,4226.38,24.66,PIX,Concluído,6,5
PED-00970,2025-01-22,2025,01,Centro-Oeste,Goiânia,Site,Gabriela,Pequena Empresa,Impressora Wi-Fi,Escritório,2,760.00,0,38.21,1520.00,233.73,886.86,-653.13,-279.44,PIX,Devolvido,6,
PED-01035,2025-01-22,2025,01,Nordeste,Salvador,Marketplace,Ana,Pessoa Física,Smartphone Y,Telefonia,2,2150.00,5,6.19,4300.00,4091.19,3162.17,929.02,22.71,Transferência,Concluído,11,4
PED-01162,2025-01-22,2025,01,Sul,Porto Alegre,Aplicativo,Daniel,Pessoa Física,Mesa Home Office,Móveis,4,980.00,15,21.19,3920.00,3353.19,2487.42,865.77,25.82,Cartão de Crédito,Concluído,7,4
PED-00150,2025-01-23,2025,01,Sudeste,São Paulo,Loja Física,Bruno,Pessoa Física,Tablet 10,Telefonia,1,1850.00,0,94.44,1850.00,1944.44,1353.05,591.39,30.41,Transferência,Concluído,8,2
PED-00359,2025-01-23,2025,01,Centro-Oeste,Goiânia,Site,Henrique,Pessoa Física,Cadeira Ergonômica,Móveis,1,1350.00,5,55.30,1350.00,1337.80,899.36,438.44,32.77,Cartão de Crédito,Concluído,5,5
PED-00848,2025-01-23,2025,01,Centro-Oeste,Campo Grande,Marketplace,Gabriela,Pequena Empresa,SSD 1 TB,Componentes,2,510.00,0,68.72,1020.00,0.00,24.05,-24.05,0.00,Transferência,Cancelado,6,
PED-01351,2025-01-23,2025,01,Sul,Florianópolis,Marketplace,Felipe,Pessoa Física,Notebook Pro 14,Eletrônicos,2,4200.00,0,74.72,8400.00,8474.72,6326.15,2148.57,25.35,Boleto,Concluído,10,4
PED-00542,2025-01-24,2025,01,Centro-Oeste,Cuiabá,Site,Eduarda,Pequena Empresa,Notebook Pro 14,Eletrônicos,10,4200.00,0,5.69,42000.00,42005.69,31501.99,10503.70,25.01,Boleto,Concluído,5,5
PED-00642,2025-01-24,2025,01,Sudeste,São Paulo,Loja Física,Carla,Pessoa Física,Memória RAM 16 GB,Componentes,10,390.00,10,28.34,3900.00,3538.34,2459.92,1078.42,30.48,PIX,Concluído,2,4
PED-00722,2025-01-24,2025,01,Sudeste,São Paulo,Site,Eduarda,Pessoa Física,Monitor 27,Eletrônicos,1,1450.00,0,80.24,1450.00,1530.24,1048.08,482.16,31.51,Cartão de Crédito,Concluído,7,3
PED-00774,2025-01-24,2025,01,Centro-Oeste,Cuiabá,Aplicativo,Eduarda,Pessoa Física,Webcam Full HD,Acessórios,2,310.00,15,15.00,620.00,542.00,385.25,156.75,28.92,PIX,Concluído,2,4
PED-00874,2025-01-24,2025,01,Sul,Porto Alegre,Marketplace,Henrique,Pequena Empresa,Smartphone X,Telefonia,8,3200.00,0,57.13,25600.00,3848.57,16677.00,-12828.43,-333.33,PIX,Devolvido,7,
PED-01296,2025-01-24,2025,01,Sudeste,São Paulo,Site,Felipe,Pessoa Física,Webcam Full HD,Acessórios,8,310.00,5,53.11,2480.00,2409.11,1538.59,870.52,36.13,Cartão de Crédito,Concluído,7,1
PED-01481,2025-01-24,2025,01,Sul,Londrina,Site,Eduarda,Pequena Empresa,Mouse Sem Fio,Acessórios,8,145.00,15,6.44,1160.00,992.44,658.25,334.19,33.67,Cartão de Crédito,Concluído,4,5
PED-00292,2025-01-25,2025,01,Nordeste,Salvador,Site,Ana,Pessoa Física,SSD 1 TB,Componentes,1,510.00,0,78.05,510.00,588.05,372.32,215.73,36.69,Transferência,Concluído,7,4
PED-00801,2025-01-25,2025,01,Norte,Belém,Marketplace,Gabriela,Média Empresa,Mouse Sem Fio,Acessórios,2,145.00,5,52.91,290.00,49.26,155.14,-105.88,-214.94,Cartão de Crédito,Devolvido,5,
PED-00819,2025-01-25,2025,01,Nordeste,Recife,Site,Bruno,Média Empresa,Webcam Full HD,Acessórios,2,310.00,5,77.74,620.00,666.74,407.21,259.53,38.93,Transferência,Concluído,2,2
PED-01057,2025-01-25,2025,01,Nordeste,Salvador,Marketplace,Ana,Pessoa Física,Webcam Full HD,Acessórios,1,310.00,5,46.64,310.00,51.17,175.37,-124.20,-242.72,Transferência,Devolvido,8,
PED-01209,2025-01-25,2025,01,Nordeste,Natal,Marketplace,Bruno,Pequena Empresa,Mouse Sem Fio,Acessórios,1,145.00,0,33.26,145.00,178.26,93.64,84.62,47.47,Boleto,Concluído,6,3
PED-01221,2025-01-25,2025,01,Sudeste,Campinas,Site,Daniel,Pessoa Física,Monitor 24,Eletrônicos,4,920.00,15,54.77,3680.00,3182.77,2579.17,603.60,18.96,Transferência,Concluído,2,3
PED-00586,2025-01-26,2025,01,Sul,Florianópolis,Loja Física,Felipe,Média Empresa,Mouse Sem Fio,Acessórios,1,145.00,5,51.93,145.00,189.68,100.18,89.50,47.18,Cartão de Crédito,Concluído,5,5
PED-01003,2025-01-26,2025,01,Nordeste,Natal,Site,Henrique,Pequena Empresa,Notebook Pro 14,Eletrônicos,10,4200.00,5,36.29,42000.00,39936.29,31512.70,8423.59,21.09,Boleto,Concluído,10,4
PED-00626,2025-01-27,2025,01,Centro-Oeste,Cuiabá,Aplicativo,Daniel,Pessoa Física,Monitor 27,Eletrônicos,3,1450.00,10,45.14,4350.00,3960.14,3075.80,884.34,22.33,Boleto,Concluído,11,3
PED-00906,2025-01-27,2025,01,Nordeste,Fortaleza,Aplicativo,Felipe,Média Empresa,Notebook Lite 15,Eletrônicos,6,2850.00,10,19.16,17100.00,15409.16,12906.71,2502.45,16.24,PIX,Concluído,7,5
PED-01136,2025-01-27,2025,01,Sul,Curitiba,Loja Física,Daniel,Pessoa Física,Notebook Lite 15,Eletrônicos,3,2850.00,0,68.77,8550.00,8618.77,6474.07,2144.70,24.88,Transferência,Concluído,9,3
PED-00039,2025-01-28,2025,01,Nordeste,Recife,Aplicativo,Carla,Pessoa Física,Monitor 24,Eletrônicos,2,920.00,0,31.05,1840.00,1871.05,1290.87,580.18,31.01,Transferência,Concluído,5,5
PED-00203,2025-01-28,2025,01,Sudeste,Rio de Janeiro,Loja Física,Eduarda,Pequena Empresa,Mesa Home Office,Móveis,4,980.00,15,22.74,3920.00,3354.74,2487.96,866.78,25.84,Cartão de Crédito,Concluído,2,3
PED-00854,2025-01-28,2025,01,Centro-Oeste,Goiânia,Loja Física,Felipe,Pessoa Física,Webcam Full HD,Acessórios,2,310.00,0,56.92,620.00,676.92,399.92,277.00,40.92,PIX,Concluído,2,5
PED-01133,2025-01-28,2025,01,Centro-Oeste,Brasília,Site,Carla,Pequena Empresa,Notebook Pro 14,Eletrônicos,4,4200.00,10,7.85,16800.00,15127.85,12602.75,2525.10,16.69,Cartão de Crédito,Concluído,8,5
PED-00603,2025-01-29,2025,01,Sudeste,Rio de Janeiro,Loja Física,Bruno,Pessoa Física,Notebook Pro 14,Eletrônicos,5,4200.00,15,78.89,21000.00,17928.89,15777.61,2151.28,12.00,Transferência,Concluído,12,3
PED-00696,2025-01-29,2025,01,Sudeste,São Paulo,Site,Ana,Pequena Empresa,Webcam Full HD,Acessórios,1,310.00,10,60.65,310.00,339.65,211.23,128.42,37.81,Cartão de Crédito,Concluído,4,3
PED-00787,2025-01-29,2025,01,Nordeste,Natal,Aplicativo,Ana,Média Empresa,Smartphone X,Telefonia,2,3200.00,20,88.58,6400.00,5208.58,4931.00,277.58,5.33,Boleto,Concluído,9,4
PED-01260,2025-01-29,2025,01,Sudeste,São Paulo,Marketplace,Henrique,Média Empresa,Impressora Wi-Fi,Escritório,6,760.00,0,49.00,4560.00,691.35,2641.08,-1949.73,-282.02,Cartão de Crédito,Devolvido,5,
PED-01319,2025-01-29,2025,01,Nordeste,Salvador,Site,Gabriela,Pessoa Física,Webcam Full HD,Acessórios,3,310.00,0,28.89,930.00,143.83,493.09,-349.26,-242.83,PIX,Devolvido,1,
PED-01376,2025-01-29,2025,01,Norte,Palmas,Loja Física,Gabriela,Pessoa Física,SSD 1 TB,Componentes,4,510.00,15,89.37,2040.00,273.51,1199.59,-926.08,-338.59,Boleto,Devolvido,10,
PED-00466,2025-01-30,2025,01,Nordeste,Natal,Aplicativo,Bruno,Pequena Empresa,Monitor 27,Eletrônicos,2,1450.00,5,41.43,2900.00,2796.43,2054.50,741.93,26.53,Cartão de Crédito,Concluído,11,5
PED-01268,2025-01-30,2025,01,Nordeste,Fortaleza,Loja Física,Daniel,Pessoa Física,SSD 1 TB,Componentes,2,510.00,10,40.39,1020.00,958.39,704.14,254.25,26.53,Transferência,Concluído,6,3
PED-01168,2025-01-31,2025,01,Sul,Porto Alegre,Site,Gabriela,Pequena Empresa,Mouse Sem Fio,Acessórios,5,145.00,5,94.85,725.00,783.60,443.20,340.40,43.44,Cartão de Crédito,Concluído,7,4
PED-00081,2025-02-01,2025,02,Norte,Palmas,Marketplace,Bruno,Pessoa Física,Notebook Lite 15,Eletrônicos,5,2850.00,0,7.68,14250.00,0.00,2.69,-2.69,0.00,Cartão de Crédito,Cancelado,3,
PED-00235,2025-02-01,2025,02,Norte,Belém,Marketplace,Gabriela,Pessoa Física,Impressora Wi-Fi,Escritório,1,760.00,0,18.05,760.00,116.71,443.12,-326.41,-279.68,Boleto,Devolvido,9,
PED-01015,2025-02-01,2025,02,Centro-Oeste,Cuiabá,Aplicativo,Eduarda,Pessoa Física,Notebook Lite 15,Eletrônicos,3,2850.00,20,9.24,8550.00,6849.24,6453.23,396.01,5.78,Transferência,Concluído,4,5
PED-00167,2025-02-02,2025,02,Sudeste,Campinas,Marketplace,Ana,Pequena Empresa,Monitor 24,Eletrônicos,3,920.00,0,80.31,2760.00,426.05,1655.89,-1229.84,-288.66,Cartão de Crédito,Devolvido,6,
PED-00593,2025-02-02,2025,02,Sudeste,Rio de Janeiro,Site,Gabriela,Pessoa Física,Memória RAM 16 GB,Componentes,1,390.00,10,6.65,390.00,357.65,247.33,110.32,30.85,PIX,Concluído,6,4
PED-00724,2025-02-02,2025,02,Norte,Porto Velho,Marketplace,Ana,Pessoa Física,Monitor 27,Eletrônicos,3,1450.00,15,18.32,4350.00,3715.82,3066.41,649.41,17.48,PIX,Concluído,9,1
PED-00902,2025-02-02,2025,02,Nordeste,Natal,Site,Felipe,Pequena Empresa,Smartphone X,Telefonia,3,3200.00,10,92.55,9600.00,8732.55,7382.39,1350.16,15.46,Cartão de Crédito,Concluído,9,3
PED-01318,2025-02-02,2025,02,Sudeste,Campinas,Site,Henrique,Pequena Empresa,SSD 1 TB,Componentes,4,510.00,5,52.32,2040.00,1990.32,1398.31,592.01,29.74,Boleto,Concluído,12,5
PED-00117,2025-02-03,2025,02,Nordeste,Fortaleza,Site,Bruno,Pessoa Física,Teclado Mecânico,Acessórios,2,350.00,5,61.71,700.00,726.71,441.60,285.11,39.23,PIX,Concluído,2,1
PED-00868,2025-02-03,2025,02,Nordeste,Fortaleza,Site,Felipe,Pessoa Física,Monitor 24,Eletrônicos,4,920.00,5,44.40,3680.00,3540.40,2575.54,964.86,27.25,Boleto,Concluído,10,4
PED-01280,2025-02-03,2025,02,Sul,Porto Alegre,Site,Carla,Pessoa Física,Tablet 10,Telefonia,5,1850.00,5,21.80,9250.00,8809.30,6607.63,2201.67,24.99,Cartão de Crédito,Concluído,1,2
PED-01394,2025-02-03,2025,02,Nordeste,Recife,Marketplace,Eduarda,Pessoa Física,Smartphone X,Telefonia,2,3200.00,0,84.18,6400.00,972.63,4190.04,-3217.41,-330.79,Transferência,Devolvido,2,
PED-00319,2025-02-04,2025,02,Sul,Curitiba,Site,Ana,Corporativo,Webcam Full HD,Acessórios,1,310.00,0,37.95,310.00,52.19,172.79,-120.60,-231.08,Transferência,Devolvido,7,
PED-00457,2025-02-05,2025,02,Norte,Belém,Site,Carla,Pessoa Física,Smartphone X,Telefonia,1,3200.00,0,88.45,3200.00,3288.45,2480.96,807.49,24.56,PIX,Concluído,8,5
PED-01148,2025-02-05,2025,02,Norte,Palmas,Loja Física,Felipe,Corporativo,Monitor 24,Eletrônicos,1,920.00,20,81.55,920.00,0.00,28.54,-28.54,0.00,Cartão de Crédito,Cancelado,12,
PED-01479,2025-02-05,2025,02,Sudeste,Rio de Janeiro,Marketplace,Bruno,Pessoa Física,Headset USB,Acessórios,1,260.00,5,61.93,260.00,308.93,176.68,132.25,42.81,PIX,Concluído,9,3
PED-00024,2025-02-06,2025,02,Sul,Porto Alegre,Marketplace,Ana,Pessoa Física,Smartphone Y,Telefonia,5,2150.00,15,81.77,10750.00,9219.27,7928.62,1290.65,14.00,Cartão de Crédito,Concluído,4,5
PED-00810,2025-02-06,2025,02,Sudeste,Campinas,Aplicativo,Daniel,Pequena Empresa,Notebook Pro 14,Eletrônicos,1,4200.00,0,77.32,4200.00,641.60,2700.50,-2058.90,-320.90,Boleto,Devolvido,8,
PED-00968,2025-02-06,2025,02,Sudeste,Campinas,Aplicativo,Gabriela,Pessoa Física,Monitor 24,Eletrônicos,3,920.00,5,71.07,2760.00,403.96,1653.14,-1249.18,-309.23,Boleto,Devolvido,8,
PED-01187,2025-02-06,2025,02,Sudeste,Rio de Janeiro,Site,Gabriela,Pessoa Física,SSD 1 TB,Componentes,2,510.00,5,92.35,1020.00,1061.35,722.32,339.03,31.94,Transferência,Concluído,1,5
PED-00064,2025-02-07,2025,02,Sul,Florianópolis,Aplicativo,Henrique,Pessoa Física,Teclado Mecânico,Acessórios,6,350.00,0,13.69,2100.00,317.05,1075.07,-758.02,-239.09,Cartão de Crédito,Devolvido,3,
PED-00112,2025-02-07,2025,02,Sudeste,Rio de Janeiro,Aplicativo,Felipe,Corporativo,Mesa Home Office,Móveis,2,980.00,20,51.59,1960.00,1619.59,1258.06,361.53,22.32,PIX,Concluído,1,5
PED-00539,2025-02-07,2025,02,Centro-Oeste,Brasília,Aplicativo,Eduarda,Pessoa Física,Teclado Mecânico,Acessórios,5,350.00,10,82.99,1750.00,248.70,917.19,-668.49,-268.79,Boleto,Devolvido,12,
PED-00564,2025-02-07,2025,02,Sul,Porto Alegre,Site,Gabriela,Pessoa Física,Cadeira Ergonômica,Móveis,1,1350.00,5,16.20,1350.00,1298.70,885.67,413.03,31.80,PIX,Concluído,11,5
PED-01059,2025-02-07,2025,02,Sudeste,Rio de Janeiro,Site,Carla,Pessoa Física,Tablet 10,Telefonia,3,1850.00,0,7.53,5550.00,5557.53,3962.64,1594.89,28.70,PIX,Concluído,8,3
